ID,姓名,所屬車站,到職日期
1000M0001,蔡〇一,LB01,
1000M0002,魏〇二,LB01,
1000M0003,游〇三,LB01,
1000M0004,林〇四,LB01,
1000M0005,王〇五,LB02,
1000M0006,石〇六,LB02,
1000M0007,陳〇七,LB03,
1000M0008,吳〇八,LB03,
1000M0009,張〇九,LB03,
1000M0010,郭〇十,LB04,
1000M0011,郭十一,LB04,
1000M0012,陳十二,LB04,
1000M0013,陳十三,LB05,
1000M0014,游十四,LB05,
1000M0015,王十五,LB05,
1000M0016,呂十六,LB06,
1000M0017,藍十七,LB06,
1000M0018,時十八,LB06,
1000M0019,呂十九,LB07,
1000M0000,陳〇〇,LB07,
1000M0020,盧二十,LB07,
1000M0021,張二一,LB07,
1000M0022,陳二二,LB08,
1000M0023,宋二三,LB08,
1000M0024,鄭二四,LB08,
1000M0025,吳二五,LB08,
1000M0026,楊二六,LB09,
1000M0027,林二七,LB09,
1000M0028,呂二八,LB10,
1000M0029,洪二九,LB10,
1000M0030,邱三十,LB10,
1000M0031,賴三一,LB11,
1000M0032,謝三二,LB11,
1000M0033,蘇三三,LB11,
1000M0034,張三四,LB12,
1000M0035,劉三五,LB12,
1000M0036,邱三六,LB12,
