ID,姓名,所屬,到職日期,能力,T月班別,月初區間累計R,月初區間累計R1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,當月R,當月R1,當月指定R休,月底區間累計R,月底區間累計R1,本月班數,萬年班表
1000M0001,蔡〇一,LB01,,,,1,0,1小,R,1小,1小,R,R,1早,1早,1早,1早,1小,1小,R休,R休,R,1夜,1夜,1夜,1夜,1夜,R,R,1早,1早,R,1小,1小,1小,R,R,1早,9,0,2,10,0,20,LB01-4
1000M0002,魏〇二,LB01,,,,2,0,1早,1早,R,1早,1早,1早,1小,R,R,R休,R休,R,R,1小,1小,1小,1小,1小,R,X[08:30-17:30],3小,1小,1小,R,1夜,1夜,1夜,1夜,1夜,R,R,9,0,2,11,0,20,LB01-1
1000M0003,游〇三,LB01,,,,2,0,3小,1小,R,1夜,1夜,1夜,1夜,R,2小,2小,R,R,R,R,1早,1早,1早,1早,1早,R,1早,1早,R,2早,1早,1早,1早,R,1小,1小,1小,9,0,0,11,0,22,LB01-3
1000M0004,林〇四,LB01,,,,1,0,1夜,1夜,1夜,R,1小,1小,R,1小,1小,1小,R,1夜,1夜,1夜,1夜,R,R,R,1小,1小,1小,2小,R,1小,1小,R,R,1早,1早,1早,2早,9,0,0,10,0,22,LB01-2
1000M0005,王〇五,LB02,,,,2,0,R,2早,2早,R,2早,2早,2早,R,3早,2早,R,2早,3早,3早,2早,R,2小,2小,2小,R,1夜,1夜,1夜,1夜,R,R,3早,3早,3早,2早,R,9,0,0,11,0,22,LB02-1
1000M0006,石〇六,LB02,,,,2,0,2早,R,1早,3早,3早,2小,R,2早,2早,R,1早,1早,1早,1早,R,2早,2早,R,R,1早,2早,2早,2小,R,3早,2小,2小,1夜,1夜,R,R,9,0,0,11,0,22,LB02-2
1000M0007,陳〇七,LB03,,,,1,0,R,R,R,2小,3小,3小,R,1夜,1夜,1夜,1夜,R,1小,3小,R,R休,R休,R,3早,3早,R,3早,3小,3小,3小,3小,R,2小,3小,3小,3小,9,0,2,10,0,20,LB03-1
1000M0008,吳〇八,LB03,,,,2,0,R,3小,3小,3小,R,R,3小,3小,3小,3小,3小,3小,R,R,3小,3小,3小,3小,3小,3小,R,R,3早,3早,R,3早,3小,3小,R,1夜,1夜,9,0,0,11,0,22,LB03-2
1000M0009,張〇九,LB03,,,,1,0,3早,3早,3早,R,R,3早,3早,3早,R,3早,3早,3早,3小,R,3早,3早,3早,3早,R,R,3早,3小,R,2小,2小,1夜,1夜,R,R,3早,3早,9,0,0,10,0,22,LB03-3
1000M0010,郭〇十,LB04,,,,1,0,R,4早,4早,4早,4早,4早,R,R,R休,6小,6小,6小,R,6夜,6夜,6夜,6夜,R,4早,4早,R,R,R,4小,6夜,6夜,6夜,R,4小,4小,4小,9,0,1,10,0,21,LB04-1
1000M0011,郭十一,LB04,,,,2,0,6早,5早,5早,R,6夜,6夜,6夜,R,4小,4小,R,4小,4小,5小,4小,R,4早,4早,R,R,4早,5小,R,R,4早,5早,5早,5早,5早,R,4早,9,0,0,11,0,22,LB04-2
1000M0012,陳十二,LB04,,,,2,0,R,R,R,R,4小,4小,4小,5小,5小,R,4早,4早,4早,4早,5早,R,R,6小,6小,6小,4小,4小,4小,R,6早,4早,4早,4早,R,5早,5早,9,0,0,11,0,22,LB04-3
1000M0013,陳十三,LB05,,,,2,0,4小,4小,5小,5小,R,6早,5小,R,R,5小,5小,5小,5小,R,5小,5小,R,6夜,6夜,6夜,6夜,R,5小,5小,5小,R,R,6夜,6夜,6夜,6夜,8,0,0,10,0,23,LB05-2
1000M0014,游十四,LB05,,,,1,0,5小,6小,R,6小,5小,5小,R,6夜,6夜,6夜,R,R,5早,5早,R,R,R,R,5小,5小,5小,6夜,6夜,6夜,R,5小,5小,5小,5小,R,5小,10,0,0,11,0,21,LB05-3
1000M0015,王十五,LB05,,,,2,0,5早,5小,6小,R,5早,5早,5早,R,R,5早,5早,5早,R,6早,6早,5早,5早,5早,R,R,5早,5早,5早,5早,5早,R,R,6小,6小,5小,R,9,0,0,11,0,22,LB05-1
1000M0016,呂十六,LB06,,,,1,0,6小,R,R休,6早,6小,R,R,6早,6早,R,6夜,6夜,6夜,R,R休,6早,6早,6早,6早,6早,R,4早,6早,6早,R,6早,6早,6早,6早,R,R,9,0,2,10,0,20,LB06-1
1000M0017,藍十七,LB06,,,,1,0,6夜,6夜,6夜,6夜,R,6小,6小,6小,6小,R,R,6早,6早,R,R,4小,6小,R,5早,5早,6早,6早,R,6小,6小,6小,6小,R,R,6早,6早,9,0,0,10,0,22,LB06-3
1000M0018,時十八,LB06,,,,2,0,R,6早,6早,5早,6早,R,6早,5早,5早,6早,6早,R,6小,6小,6小,6小,5小,5小,R,R,6小,6小,6小,R,R,4小,6夜,6夜,R,6小,6小,8,0,0,10,0,23,LB06-2
1000M0019,呂十九,LB07,,,,2,0,R休,R休,R休,R,R,9小,9小,7小,7小,R,8夜,8夜,8夜,8夜,8夜,R,R,7小,9小,R,R,R,7小,7小,7小,R,7早,7早,9早,7小,7小,9,0,3,11,0,19,LB07-1
1000M0000,陳〇〇,LB07,,,,2,0,7小,7小,7小,7小,R,R,7早,7早,9早,9早,R,7早,7早,R,R,7早,7早,7早,7小,R,8夜,8夜,8夜,8夜,8夜,R,7小,7小,7小,R,9小,8,0,0,10,0,23,LB07-2
1000M0020,盧二十,LB07,,,,2,0,7早,7早,7早,7早,7早,7早,R,8早,7早,7早,R,8小,7小,7小,R,8夜,8夜,8夜,8夜,8夜,R,R,R,8小,8小,7小,R,R,7早,7早,7早,8,0,0,10,0,23,LB07-3
1000M0021,張二一,LB07,,,,1,0,9小,R,R,R,7小,7小,7小,R,9小,7小,7小,7小,R,7早,7早,9早,R,8早,7早,7早,R,7早,7早,7早,7早,R休,8夜,8夜,R,R,8小,9,0,1,10,0,21,LB07-4
1000M0022,陳二二,LB08,,,,2,0,R,8早,8早,8早,R,X[08:30-17:30],8小,8小,R,R,8早,8早,8早,R,8小,8小,8小,8小,R,8小,8小,8小,8小,R,R,8夜,8夜,8夜,8夜,8夜,R,9,0,0,11,0,22,LB08-4
1000M0023,宋二三,LB08,,,,1,0,8小,R,8夜,8夜,8夜,8夜,R,R,8小,8小,8小,R,R,8早,8早,7小,R,R,8小,7小,7小,7小,R,8早,8早,R,8早,8早,8早,8早,8早,9,0,0,10,0,22,LB08-2
1000M0024,鄭二四,LB08,,,,2,0,R,8小,8小,8小,8小,8小,R,R,8早,8早,7早,R,R,9早,9早,8早,8早,R,8早,8早,8早,R,9小,9小,R,8小,8小,8小,8小,8小,R,9,0,0,11,0,22,LB08-3
1000M0025,吳二五,LB08,,,,2,0,8早,9早,9早,R,8早,8早,8早,9小,R,9小,9小,9小,8小,8小,R,R,9早,9早,9早,R,7早,8早,8早,R,9小,9小,R,R,8夜,8夜,R,9,0,0,11,0,22,LB08-1
1000M0026,楊二六,LB09,,,,1,0,9早,R,9小,9小,9小,R,8夜,8夜,8夜,8夜,R,R,9小,9小,7小,R,9小,9小,R,9小,9小,9小,R,R,9早,8早,9早,9早,R,9早,9早,9,0,0,10,0,22,LB09-1
1000M0027,林二七,LB09,,,,2,0,8夜,8夜,R,R,9早,9早,9早,9早,R,R,9早,9早,9早,R,9小,9小,7小,R,R,9早,9早,9早,9早,9早,R,7早,9小,9小,9小,R,8夜,9,0,0,11,0,22,LB09-2
