ID,姓名,所屬,月中開始排班日,月中終止排班日,能力,T月班別,月初區間累計R,月初區間累計R1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,當月R,當月R1,R休下限,R休上限,月底區間累計R,月底區間累計R1,本月班數,萬年班表
1209M0001,陳〇一,車輛軌道組,,,5,早,11,0,,R*,,,,,,,R*,,,,,,,R*,,,,,,,R*,R*,,,,,,R*,,,,,,,,,
1504M0002,王〇二,車輛軌道組,,,4,早,11,0,,,,,R*,,,,,,,R*,,,,,R*,,,,,,,,,R*,,,,,,,,,,,,,
1408M0003,張〇三,車輛軌道組,,,4,早,11,0,R*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R*,,,,,,,,,
1112M0004,陳〇四,車輛號通組,,,5,早,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504M0005,林〇五,車輛號通組,,,3,早,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506M0006,王〇六,車輛號通組,,,2,早,11,0,,,,,,,,,,,,,,,,,,,,,,,,,R*,,,,,,,,,,,,,,
1310M0007,范〇七,車輛電機組,,,5,早,11,0,,,,,,,,,,,,,,,,,R*,R*,,R*,R*,,,,,,,,,,,,,,,,,,
1501M0008,李〇八,車輛電機組,,,3,早,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504M0009,周〇九,車輛電機組,,,3,早,11,0,,,,,,,,,,,,,,,,,,,,,,,,R*,R*,,,,,,,,,,,,,,
1506M0010,莊〇十,車輛電機組,,,2,早,11,0,,,,,,,,,,,,,,,,,,,R*,,,,,,,,,,,,,,,,,,,,
1209M0011,黃十一,車輛軌道組,,,5,午,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501M0012,蕭十二,車輛軌道組,,,4,午,11,0,,,,,,,,,,,,,R*,R*,R*,,,,,,,,,,,,,,,,,,,,,,,,
1506M0013,曾十三,車輛軌道組,,,2,午,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506M0014,高十四,車輛軌道組,,,2,午,11,0,,,,,,,,,,,,,,,,,,,,,,,,,R*,R*,,,,,,,,,,,,,
1205M0015,周十五,車輛號通組,,,5,午,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501M0016,陳十六,車輛號通組,,,4,早,11,0,,,,,,,,,,,,,,,,,,,R*,,,,,,,,,,,,,,,,,,,,
1504M0017,吳十七,車輛號通組,,,4,午,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408M0018,葉十八,車輛號通組,,,5,午,10,0,,,,,,,R*,,,,,,,R*,,,,,,,R*,,,,,,,R*,,,,,,,,,,,
1112M0019,秦十九,車輛電機組,,,5,午,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310M0000,謝〇〇,車輛電機組,,,4,午,11,0,,,,,,,,,,,,R*,R*,R*,,,,,,,,,,,,,,,,,,,,,,,,,
1408M0020,鄭二十,車輛電機組,,,5,午,11,0,,,,,,,,,,,,,,,,,,,,,,,,,R*,R*,R*,R*,,,,,,,,,,,
1308M0021,姜二一,車輛軌道組,,,5,夜,11,0,,,,,,R*,,,,,,,R*,,,,,,,R*,,,,,,,R*,,,,,,,,,,,,
1205M0022,陳二二,車輛軌道組,,,5,夜,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506M0023,莊二三,車輛軌道組,,,3,夜,11,0,,,,,,,,,,,,R*,,,,,,,,,,,,,,R*,R*,R*,,,,,,,,,,,
1506M0024,郭二四,車輛軌道組,,,2,夜,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504M0025,陳二五,車輛軌道組,,,2,夜,11,0,,,,,,,,,,,R*,R*,R*,,,,,,,,,,,,,,,,,,,,,,,,,,
1308M0026,姜二六,車輛號通組,,,5,夜,11,0,,R*,,,,R*,,,,,,,R*,,,,,,,,,,,,,,R*,,,,,,,,,,,,
1304M0027,謝二七,車輛號通組,,,4,夜,11,0,,,,,,,,,,,,R*,R*,R*,,,,,,,,,,,,,,,,,,,,,,,,,
1205M0028,蔡二八,車輛號通組,,,4,夜,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408M0029,陳二九,車輛號通組,,,5,早,11,0,,,,,R*,,,,,,,R*,,,,,,,R*,,,,,,,R*,,,,,,,,,,,,,
1205M0030,林三十,車輛電機組,,,5,夜,11,0,,,,,,,,,R*,R*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501M0031,李三一,車輛電機組,,,4,夜,11,0,,,,,,,,,,,,,,,,,,,,,,,,,R*,R*,R*,R*,,,,,,,,,,,
