ID,姓名,所屬,到職日期,能力
1209M0001,陳〇一,車輛軌道組,,5
1504M0002,王〇二,車輛軌道組,,4
1408M0003,張〇三,車輛軌道組,,4
1112M0004,陳〇四,車輛號通組,,5
1504M0005,林〇五,車輛號通組,,3
1506M0006,王〇六,車輛號通組,,2
1310M0007,范〇七,車輛電機組,,5
1501M0008,李〇八,車輛電機組,,3
1504M0009,周〇九,車輛電機組,,3
1506M0010,莊〇十,車輛電機組,,2
1209M0011,黃十一,車輛軌道組,,5
1501M0012,蕭十二,車輛軌道組,,4
1506M0013,曾十三,車輛軌道組,,2
1506M0014,高十四,車輛軌道組,,2
1205M0015,周十五,車輛號通組,,5
1501M0016,陳十六,車輛號通組,,4
1504M0017,吳十七,車輛號通組,,4
1408M0018,葉十八,車輛號通組,,5
1112M0019,秦十九,車輛電機組,,5
1310M0000,謝〇〇,車輛電機組,,4
1408M0020,鄭二十,車輛電機組,,5
1308M0021,姜二一,車輛軌道組,,5
1205M0022,陳二二,車輛軌道組,,5
1506M0023,莊二三,車輛軌道組,,3
1506M0024,郭二四,車輛軌道組,,2
1504M0025,陳二五,車輛軌道組,,2
1308M0026,姜二六,車輛號通組,,5
1304M0027,謝二七,車輛號通組,,4
1205M0028,蔡二八,車輛號通組,,4
1408M0029,陳二九,車輛號通組,,5
1205M0030,林三十,車輛電機組,,5
1501M0031,李三一,車輛電機組,,4
